id,language,sentence,tokenized_sentence,expression,category,indices
12,tr,Sen ona gaz verdikçe sorunlar büyüyor farkında mısın?,"['Sen', 'ona', 'gaz', 'verdikçe', 'sorunlar', 'büyüyor', 'farkında', 'mısın', '?']",gaz vermek,idiomatic,"[2, 3]"
13,tr,Birbirimize gaz vermeden gerçekçi planlar yapalım.,"['Birbirimize', 'gaz', 'vermeden', 'gerçekçi', 'planlar', 'yapalım', '.']",gaz vermek,idiomatic,"[1, 2]"
14,tr,Gaz verilince herkeste bir heyecan oluştu.,"['Gaz', 'verilince', 'herkeste', 'bir', 'heyecan', 'oluştu', '.']",gaz vermek,idiomatic,"[0, 1]"
15,tr,Yarış öncesi takıma gaz vermek önemli bir motivasyon yöntemi olabilir.,"['Yarış', 'öncesi', 'takıma', 'gaz', 'vermek', 'önemli', 'bir', 'motivasyon', 'yöntemi', 'olabilir', '.']",gaz vermek,idiomatic,"[3, 4]"
16,tr,Gaz verilmeden yapılan işler çoğunlukla sönük kalıyor.,"['Gaz', 'verilmeden', 'yapılan', 'işler', 'çoğunlukla', 'sönük', 'kalıyor', '.']",gaz vermek,idiomatic,"[0, 1]"
17,tr,Projeye gaz vermek için motivasyon konuşması yapıldı.,"['Projeye', 'gaz', 'vermek', 'için', 'motivasyon', 'konuşması', 'yapıldı', '.']",gaz vermek,idiomatic,"[1, 2]"
18,tr,Ekibin başındaki lider herkese gaz verip enerjiyi yükseltti.,"['Ekibin', 'başındaki', 'lider', 'herkese', 'gaz', 'verip', 'enerjiyi', 'yükseltti', '.']",gaz vermek,idiomatic,"[4, 5]"
19,tr,Gaz vermek yerine yapıcı eleştiriler sunmak daha yararlı olurdu.,"['Gaz', 'vermek', 'yerine', 'yapıcı', 'eleştiriler', 'sunmak', 'daha', 'yararlı', 'olurdu', '.']",gaz vermek,idiomatic,"[0, 1]"
20,tr,Sürekli gaz verilen öğrenciler kendine güven kazanıyor.,"['Sürekli', 'gaz', 'verilen', 'öğrenciler', 'kendine', 'güven', 'kazanıyor', '.']",gaz vermek,idiomatic,"[1, 2]"
21,tr,Gaz verilmese o kadar iddialı konuşmazdı.,"['Gaz', 'verilmese', 'o', 'kadar', 'iddialı', 'konuşmazdı', '.']",gaz vermek,idiomatic,"[0, 1]"
22,tr,Ekibe gaz verildiğinde herkesin gözleri parladı.,"['Ekibe', 'gaz', 'verildiğinde', 'herkesin', 'gözleri', 'parladı', '.']",gaz vermek,idiomatic,"[1, 2]"
23,tr,"Gaz vermek kolay, asıl mesele emek harcamak.","['Gaz', 'vermek', 'kolay', ',', 'asıl', 'mesele', 'emek', 'harcamak', '.']",gaz vermek,idiomatic,"[0, 1]"
24,tr,Patron çalışanlara gaz verdiğinde iş ortamı canlanıyor.,"['Patron', 'çalışanlara', 'gaz', 'verdiğinde', 'iş', 'ortamı', 'canlanıyor', '.']",gaz vermek,idiomatic,"[2, 3]"
25,tr,Gaz vermektense samimiyetle konuşmak daha iyidir.,"['Gaz', 'vermektense', 'samimiyetle', 'konuşmak', 'daha', 'iyidir', '.']",gaz vermek,idiomatic,"[0, 1]"
26,tr,Gaz verilse de inanmadan harekete geçmek zor.,"['Gaz', 'verilse', 'de', 'inanmadan', 'harekete', 'geçmek', 'zor', '.']",gaz vermek,idiomatic,"[0, 1]"
27,tr,"Sınıfta gaz verilmeyecek, herkes kendi başına çalışacak.","['Sınıfta', 'gaz', 'verilmeyecek', ',', 'herkes', 'kendi', 'başına', 'çalışacak', '.']",gaz vermek,idiomatic,"[1, 2]"
28,tr,Gaz vermek için fırsat kollayanlar her ortamda bulunur.,"['Gaz', 'vermek', 'için', 'fırsat', 'kollayanlar', 'her', 'ortamda', 'bulunur', '.']",gaz vermek,idiomatic,"[0, 1]"
29,tr,Bazen gaz verilmesi insanın potansiyelini ortaya çıkarır.,"['Bazen', 'gaz', 'verilmesi', 'insanın', 'potansiyelini', 'ortaya', 'çıkarır', '.']",gaz vermek,idiomatic,"[1, 2]"
30,tr,Gaz vermek için toplanan kalabalık coşkuyu artırdı.,"['Gaz', 'vermek', 'için', 'toplanan', 'kalabalık', 'coşkuyu', 'artırdı', '.']",gaz vermek,idiomatic,"[0, 1]"
31,tr,Gaz veriyorsun ama sonucu düşünmüyorsun.,"['Gaz', 'veriyorsun', 'ama', 'sonucu', 'düşünmüyorsun', '.']",gaz vermek,idiomatic,"[0, 1]"
32,tr,Toplantıda ona sürekli gaz verildiği için projeyi üstlenmekte tereddüt etmedi.,"['Toplantıda', 'ona', 'sürekli', 'gaz', 'verildiği', 'için', 'projeyi', 'üstlenmekte', 'tereddüt', 'etmedi', '.']",gaz vermek,idiomatic,"[3, 4]"
33,tr,Arkadaşları fazla gaz verince yarışmaya katılmaya karar verdi.,"['Arkadaşları', 'fazla', 'gaz', 'verince', 'yarışmaya', 'katılmaya', 'karar', 'verdi', '.']",gaz vermek,idiomatic,"[2, 3]"
34,tr,Sürekli gaz verirsen sonunda yanlış bir şey yapabilir.,"['Sürekli', 'gaz', 'verirsen', 'sonunda', 'yanlış', 'bir', 'şey', 'yapabilir', '.']",gaz vermek,idiomatic,"[1, 2]"
35,tr,"Ona daha fazla gaz vermeyin, zaten yeterince motive oldu.","['Ona', 'daha', 'fazla', 'gaz', 'vermeyin', ',', 'zaten', 'yeterince', 'motive', 'oldu', '.']",gaz vermek,idiomatic,"[3, 4]"
36,tr,Ekibi gaz vererek yeni hedeflere yönlendirdiler.,"['Ekibi', 'gaz', 'vererek', 'yeni', 'hedeflere', 'yönlendirdiler', '.']",gaz vermek,idiomatic,"[1, 2]"
37,tr,Hiç kimse ona gaz vermeseydi bu kadar cesur davranmazdı.,"['Hiç', 'kimse', 'ona', 'gaz', 'vermeseydi', 'bu', 'kadar', 'cesur', 'davranmazdı', '.']",gaz vermek,idiomatic,"[3, 4]"
38,tr,"Yorumlarda sürekli gaz veriyorlar, o da kendini bir anda ünlü sandı.","['Yorumlarda', 'sürekli', 'gaz', 'veriyorlar', ',', 'o', 'da', 'kendini', 'bir', 'anda', 'ünlü', 'sandı', '.']",gaz vermek,idiomatic,"[2, 3]"
39,tr,Takıma gaz verilince herkesin enerjisi yükseldi.,"['Takıma', 'gaz', 'verilince', 'herkesin', 'enerjisi', 'yükseldi', '.']",gaz vermek,idiomatic,"[1, 2]"
40,tr,Gaz vermekle bir yere varılmaz; önemli olan çalışmaktır.,"['Gaz', 'vermekle', 'bir', 'yere', 'varılmaz', ';', 'önemli', 'olan', 'çalışmaktır', '.']",gaz vermek,idiomatic,"[0, 1]"
41,tr,Sahneye çıkmadan önce arkadaşlarından gaz almak ona iyi geliyor.,"['Sahneye', 'çıkmadan', 'önce', 'arkadaşlarından', 'gaz', 'almak', 'ona', 'iyi', 'geliyor', '.']",gaz vermek,idiomatic,"[4, 5]"
42,tr,"Lütfen ona gereksiz yere gaz verme, sonra pişman oluyorsun.","['Lütfen', 'ona', 'gereksiz', 'yere', 'gaz', 'verme', ',', 'sonra', 'pişman', 'oluyorsun', '.']",gaz vermek,idiomatic,"[4, 5]"
43,tr,Gaz verilerek yapılan işler çabuk sönüyor.,"['Gaz', 'verilerek', 'yapılan', 'işler', 'çabuk', 'sönüyor', '.']",gaz vermek,idiomatic,"[0, 1]"
44,tr,"Ne zaman gaz verseler, hemen harekete geçiyor.","['Ne', 'zaman', 'gaz', 'verseler', ',', 'hemen', 'harekete', 'geçiyor', '.']",gaz vermek,idiomatic,"[2, 3]"
45,tr,Bazen gaz vermek iyi sonuçlar doğurmaz.,"['Bazen', 'gaz', 'vermek', 'iyi', 'sonuçlar', 'doğurmaz', '.']",gaz vermek,idiomatic,"[1, 2]"
46,tr,Gaz vermeden önce sonuçlarını düşünmek lazım.,"['Gaz', 'vermeden', 'önce', 'sonuçlarını', 'düşünmek', 'lazım', '.']",gaz vermek,idiomatic,"[0, 1]"
47,tr,Sürekli gaz verilen biri zamanla kendini olmadık yerlerde bulabilir.,"['Sürekli', 'gaz', 'verilen', 'biri', 'zamanla', 'kendini', 'olmadık', 'yerlerde', 'bulabilir', '.']",gaz vermek,idiomatic,"[1, 2]"
48,tr,Gaz verip kenara çekilmek sorumluluktan kaçmak olur.,"['Gaz', 'verip', 'kenara', 'çekilmek', 'sorumluluktan', 'kaçmak', 'olur', '.']",gaz vermek,idiomatic,"[0, 1]"
49,tr,Medya bazen topluma gaz vererek olayları büyütüyor.,"['Medya', 'bazen', 'topluma', 'gaz', 'vererek', 'olayları', 'büyütüyor', '.']",gaz vermek,idiomatic,"[3, 4]"
50,tr,Gaz verdikçe kendine güveni artıyor.,"['Gaz', 'verdikçe', 'kendine', 'güveni', 'artıyor', '.']",gaz vermek,idiomatic,"[0, 1]"
51,tr,Gaz vereceğine biraz da gerçekleri anlatsan iyi olurdu.,"['Gaz', 'vereceğine', 'biraz', 'da', 'gerçekleri', 'anlatsan', 'iyi', 'olurdu', '.']",gaz vermek,idiomatic,"[0, 1]"
52,tr,Topluluğa gaz verilmeden konuşmalar başlamaz.,"['Topluluğa', 'gaz', 'verilmeden', 'konuşmalar', 'başlamaz', '.']",gaz vermek,idiomatic,"[1, 2]"
53,tr,Gaz vererek ortamı coşturdular.,"['Gaz', 'vererek', 'ortamı', 'coşturdular', '.']",gaz vermek,idiomatic,"[0, 1]"
54,tr,Gaz vermeden önce bir kez daha düşünmek gerekir.,"['Gaz', 'vermeden', 'önce', 'bir', 'kez', 'daha', 'düşünmek', 'gerekir', '.']",gaz vermek,idiomatic,"[0, 1]"
55,tr,Gaz verdiler de bir anda ortalığı karıştırdı.,"['Gaz', 'verdiler', 'de', 'bir', 'anda', 'ortalığı', 'karıştırdı', '.']",gaz vermek,idiomatic,"[0, 1]"
56,tr,Kimse beni gaz vererek kandıramaz.,"['Kimse', 'beni', 'gaz', 'vererek', 'kandıramaz', '.']",gaz vermek,idiomatic,"[2, 3]"
57,tr,Sürekli gaz verilen gençler bir süre sonra kendilerini dev aynasında görmeye başlıyor.,"['Sürekli', 'gaz', 'verilen', 'gençler', 'bir', 'süre', 'sonra', 'kendilerini', 'dev', 'aynasında', 'görmeye', 'başlıyor', '.']",gaz vermek,idiomatic,"[1, 2]"
58,tr,Gaz verme işi abartılınca işler çığırından çıkabiliyor.,"['Gaz', 'verme', 'işi', 'abartılınca', 'işler', 'çığırından', 'çıkabiliyor', '.']",gaz vermek,idiomatic,"[0, 1]"
59,tr,Gaz verip verip sonra ortadan kaybolmak olmaz.,"['Gaz', 'verip', 'verip', 'sonra', 'ortadan', 'kaybolmak', 'olmaz', '.']",gaz vermek,idiomatic,"[0, 1]"
60,tr,Gaz verildi mi herkes bir anda motive oluyor.,"['Gaz', 'verildi', 'mi', 'herkes', 'bir', 'anda', 'motive', 'oluyor', '.']",gaz vermek,idiomatic,"[0, 1]"
61,tr,"Bu kadar gaz verirlerse, elbette o da havaya girer.","['Bu', 'kadar', 'gaz', 'verirlerse', ',', 'elbette', 'o', 'da', 'havaya', 'girer', '.']",gaz vermek,idiomatic,"[2, 3]"
62,tr,Gaz verme konusunda usta olanlar her ortamı hareketlendirebiliyor.,"['Gaz', 'verme', 'konusunda', 'usta', 'olanlar', 'her', 'ortamı', 'hareketlendirebiliyor', '.']",gaz vermek,idiomatic,"[0, 1]"
63,tr,Birileri ona gaz vermese belki de denemeyecekti.,"['Birileri', 'ona', 'gaz', 'vermese', 'belki', 'de', 'denemeyecekti', '.']",gaz vermek,idiomatic,"[2, 3]"
64,tr,Arkadaşları ona sürekli gaz verdiği için bu işe atılmaya karar verdi.,"['Arkadaşları', 'ona', 'sürekli', 'gaz', 'verdiği', 'için', 'bu', 'işe', 'atılmaya', 'karar', 'verdi', '.']",gaz vermek,idiomatic,"[3, 4]"
65,tr,"Kimse bana gaz vermesin, kendi bildiğimi okurum.","['Kimse', 'bana', 'gaz', 'vermesin', ',', 'kendi', 'bildiğimi', 'okurum', '.']",gaz vermek,idiomatic,"[2, 3]"
66,tr,Topluluk alkışlarla sporcuyu iyice gaz verdi.,"['Topluluk', 'alkışlarla', 'sporcuyu', 'iyice', 'gaz', 'verdi', '.']",gaz vermek,idiomatic,"[4, 5]"
67,tr,Fazla gaz vermek bazen büyük hayal kırıklıklarına yol açabilir.,"['Fazla', 'gaz', 'vermek', 'bazen', 'büyük', 'hayal', 'kırıklıklarına', 'yol', 'açabilir', '.']",gaz vermek,idiomatic,"[1, 2]"
68,tr,Sosyal medyada herkes birbirine gaz veriyor gibi geliyor.,"['Sosyal', 'medyada', 'herkes', 'birbirine', 'gaz', 'veriyor', 'gibi', 'geliyor', '.']",gaz vermek,idiomatic,"[4, 5]"
69,tr,Ona bu kadar gaz verince sonunda sahneye çıktı.,"['Ona', 'bu', 'kadar', 'gaz', 'verince', 'sonunda', 'sahneye', 'çıktı', '.']",gaz vermek,idiomatic,"[3, 4]"
70,tr,"Patron, çalışanlarına gaz vererek motivasyonu artırmaya çalıştı.","['Patron', ',', 'çalışanlarına', 'gaz', 'vererek', 'motivasyonu', 'artırmaya', 'çalıştı', '.']",gaz vermek,idiomatic,"[3, 4]"
71,tr,Gaz verilmeden kimse bu kadar cesur davranamazdı.,"['Gaz', 'verilmeden', 'kimse', 'bu', 'kadar', 'cesur', 'davranamazdı', '.']",gaz vermek,idiomatic,"[0, 1]"
72,tr,Her sınav öncesi birbirimize gaz vermeyi ihmal etmeyiz.,"['Her', 'sınav', 'öncesi', 'birbirimize', 'gaz', 'vermeyi', 'ihmal', 'etmeyiz', '.']",gaz vermek,idiomatic,"[4, 5]"
73,tr,Müdürün toplantıda gaz vermesiyle ekip hız kazandı.,"['Müdürün', 'toplantıda', 'gaz', 'vermesiyle', 'ekip', 'hız', 'kazandı', '.']",gaz vermek,idiomatic,"[2, 3]"
74,tr,Gaz verdikçe fikirlerini daha da savundu.,"['Gaz', 'verdikçe', 'fikirlerini', 'daha', 'da', 'savundu', '.']",gaz vermek,idiomatic,"[0, 1]"
75,tr,"Birileri ona gaz vermeseydi, asla bu kadar ileri gitmezdi.","['Birileri', 'ona', 'gaz', 'vermeseydi', ',', 'asla', 'bu', 'kadar', 'ileri', 'gitmezdi', '.']",gaz vermek,idiomatic,"[2, 3]"
76,tr,Gaz vermek yerine yapıcı eleştirilerde bulunmak daha faydalı olurdu.,"['Gaz', 'vermek', 'yerine', 'yapıcı', 'eleştirilerde', 'bulunmak', 'daha', 'faydalı', 'olurdu', '.']",gaz vermek,idiomatic,"[0, 1]"
77,tr,Kafede otururken birbirlerine gaz verdiler ve o çılgın planı yaptılar.,"['Kafede', 'otururken', 'birbirlerine', 'gaz', 'verdiler', 've', 'o', 'çılgın', 'planı', 'yaptılar', '.']",gaz vermek,idiomatic,"[3, 4]"
78,tr,Gaz verildiğinde bazen hayal ile gerçek karışabiliyor.,"['Gaz', 'verildiğinde', 'bazen', 'hayal', 'ile', 'gerçek', 'karışabiliyor', '.']",gaz vermek,idiomatic,"[0, 1]"
79,tr,Ekibi gaz vermeden harekete geçirmek zor.,"['Ekibi', 'gaz', 'vermeden', 'harekete', 'geçirmek', 'zor', '.']",gaz vermek,idiomatic,"[1, 2]"
80,tr,Bazı siyasi liderler halka gaz vererek popülaritelerini artırıyor.,"['Bazı', 'siyasi', 'liderler', 'halka', 'gaz', 'vererek', 'popülaritelerini', 'artırıyor', '.']",gaz vermek,idiomatic,"[4, 5]"
81,tr,"Gaz vermekle bir yere varamazsın, gerçekçi olman gerekir.","['Gaz', 'vermekle', 'bir', 'yere', 'varamazsın', ',', 'gerçekçi', 'olman', 'gerekir', '.']",gaz vermek,idiomatic,"[0, 1]"
82,tr,"Takım kaptanı herkese gaz verdi, maç motive geçti.","['Takım', 'kaptanı', 'herkese', 'gaz', 'verdi', ',', 'maç', 'motive', 'geçti', '.']",gaz vermek,idiomatic,"[3, 4]"
83,tr,Bana gaz verip sorumluluğu üzerime yıkmaya çalışıyorlar mı?,"['Bana', 'gaz', 'verip', 'sorumluluğu', 'üzerime', 'yıkmaya', 'çalışıyorlar', 'mı', '?']",gaz vermek,idiomatic,"[1, 2]"
84,tr,Gaz verilirse çoğu kişi kendini olduğundan daha güçlü hissedebilir.,"['Gaz', 'verilirse', 'çoğu', 'kişi', 'kendini', 'olduğundan', 'daha', 'güçlü', 'hissedebilir', '.']",gaz vermek,idiomatic,"[0, 1]"
85,tr,Arkadaş ortamında gaz vermek adeta bir gelenek haline gelmiş.,"['Arkadaş', 'ortamında', 'gaz', 'vermek', 'adeta', 'bir', 'gelenek', 'haline', 'gelmiş', '.']",gaz vermek,idiomatic,"[2, 3]"
86,tr,Gaz verdikten sonra geri adım atmamak gerekir.,"['Gaz', 'verdikten', 'sonra', 'geri', 'adım', 'atmamak', 'gerekir', '.']",gaz vermek,idiomatic,"[0, 1]"
87,tr,Bana gaz verenlere kulak asmamayı öğrendim.,"['Bana', 'gaz', 'verenlere', 'kulak', 'asmamayı', 'öğrendim', '.']",gaz vermek,idiomatic,"[1, 2]"
88,tr,"Bazen sadece gaz vermek, birinin hayatını değiştirebilir.","['Bazen', 'sadece', 'gaz', 'vermek', ',', 'birinin', 'hayatını', 'değiştirebilir', '.']",gaz vermek,idiomatic,"[2, 3]"
89,tr,Gaz vermeden motivasyon konuşması yapmak zordur.,"['Gaz', 'vermeden', 'motivasyon', 'konuşması', 'yapmak', 'zordur', '.']",gaz vermek,idiomatic,"[0, 1]"
90,tr,Sürekli gaz verilen biri sonunda kontrolünü kaybedebilir.,"['Sürekli', 'gaz', 'verilen', 'biri', 'sonunda', 'kontrolünü', 'kaybedebilir', '.']",gaz vermek,idiomatic,"[1, 2]"
91,tr,"Gaz vermekle bir sorunu çözemezsin, çözüm üretmek gerekir.","['Gaz', 'vermekle', 'bir', 'sorunu', 'çözemezsin', ',', 'çözüm', 'üretmek', 'gerekir', '.']",gaz vermek,idiomatic,"[0, 1]"
92,tr,Gaz vermeye çalışmak yerine objektif değerlendirme yapmalı.,"['Gaz', 'vermeye', 'çalışmak', 'yerine', 'objektif', 'değerlendirme', 'yapmalı', '.']",gaz vermek,idiomatic,"[0, 1]"
93,tr,Gaz verilerek alınan kararlar genellikle aceleye gelir.,"['Gaz', 'verilerek', 'alınan', 'kararlar', 'genellikle', 'aceleye', 'gelir', '.']",gaz vermek,idiomatic,"[0, 1]"
94,tr,"Gaz verme, önce düşün; sonra harekete geç.","['Gaz', 'verme', ',', 'önce', 'düşün', ';', 'sonra', 'harekete', 'geç', '.']",gaz vermek,idiomatic,"[0, 1]"
95,tr,"Takımdaki genç oyunculara sürekli gaz verince, maçta harikalar yarattılar.","['Takımdaki', 'genç', 'oyunculara', 'sürekli', 'gaz', 'verince', ',', 'maçta', 'harikalar', 'yarattılar', '.']",gaz vermek,idiomatic,"[4, 5]"
96,tr,"Bu kadar gaz verirsen, sonunda başımıza iş açacak.","['Bu', 'kadar', 'gaz', 'verirsen', ',', 'sonunda', 'başımıza', 'iş', 'açacak', '.']",gaz vermek,idiomatic,"[2, 3]"
97,tr,"Projeye gaz veren yöneticiler, ekibin motivasyonunu arttırdı.","['Projeye', 'gaz', 'veren', 'yöneticiler', ',', 'ekibin', 'motivasyonunu', 'arttırdı', '.']",gaz vermek,idiomatic,"[1, 2]"
98,tr,Arkadaşlarının gazına gelip saçma bir iddiaya girdi.,"['Arkadaşlarının', 'gazına', 'gelip', 'saçma', 'bir', 'iddiaya', 'girdi', '.']",gaz vermek,idiomatic,"[1, 1]"
99,tr,Toplantıda ekibe gaz vermek yerine moralini bozdu.,"['Toplantıda', 'ekibe', 'gaz', 'vermek', 'yerine', 'moralini', 'bozdu', '.']",gaz vermek,idiomatic,"[2, 3]"
100,tr,"Herkes birbirine gaz verirse, işin içinden çıkamayız.","['Herkes', 'birbirine', 'gaz', 'verirse', ',', 'işin', 'içinden', 'çıkamayız', '.']",gaz vermek,idiomatic,"[2, 3]"
101,tr,"Sana gaz verenler ortada yok, şimdi ne yapacaksın?","['Sana', 'gaz', 'verenler', 'ortada', 'yok', ',', 'şimdi', 'ne', 'yapacaksın', '?']",gaz vermek,idiomatic,"[1, 2]"
102,tr,"Gaz vermek kolay, sorumluluğu almak zor.","['Gaz', 'vermek', 'kolay', ',', 'sorumluluğu', 'almak', 'zor', '.']",gaz vermek,idiomatic,"[0, 1]"
103,tr,Her fırsatta birbirimize gaz veriyoruz; böylece işler daha hızlı ilerliyor.,"['Her', 'fırsatta', 'birbirimize', 'gaz', 'veriyoruz', ';', 'böylece', 'işler', 'daha', 'hızlı', 'ilerliyor', '.']",gaz vermek,idiomatic,"[3, 4]"
104,tr,"Bu kadar gaz verilirse, kim olsa cesaretlenir.","['Bu', 'kadar', 'gaz', 'verilirse', ',', 'kim', 'olsa', 'cesaretlenir', '.']",gaz vermek,idiomatic,"[2, 3]"
105,tr,"Birileri sürekli gaz veriyor, sonunda kontrolden çıkacağız.","['Birileri', 'sürekli', 'gaz', 'veriyor', ',', 'sonunda', 'kontrolden', 'çıkacağız', '.']",gaz vermek,idiomatic,"[2, 3]"
106,tr,"Gaz vermeden önce iki kere düşün, sonuçlarına katlanırsın.","['Gaz', 'vermeden', 'önce', 'iki', 'kere', 'düşün', ',', 'sonuçlarına', 'katlanırsın', '.']",gaz vermek,idiomatic,"[0, 1]"
107,tr,Sosyal medyada gaz verilen konular hızla büyüyor.,"['Sosyal', 'medyada', 'gaz', 'verilen', 'konular', 'hızla', 'büyüyor', '.']",gaz vermek,idiomatic,"[2, 3]"
108,tr,Arkadaş ortamında gaz verilince herkes cesurlaşıyor.,"['Arkadaş', 'ortamında', 'gaz', 'verilince', 'herkes', 'cesurlaşıyor', '.']",gaz vermek,idiomatic,"[2, 3]"
109,tr,"Gaz vermekle kalmıyor, bir de destek oluyordu.","['Gaz', 'vermekle', 'kalmıyor', ',', 'bir', 'de', 'destek', 'oluyordu', '.']",gaz vermek,idiomatic,"[0, 1]"
110,tr,"Etrafındakiler gaz vermese, bu kadar abartmazdı.","['Etrafındakiler', 'gaz', 'vermese', ',', 'bu', 'kadar', 'abartmazdı', '.']",gaz vermek,idiomatic,"[1, 2]"
111,tr,Gaz vermeyi bırakıp gerçekçi konuşmak lazım.,"['Gaz', 'vermeyi', 'bırakıp', 'gerçekçi', 'konuşmak', 'lazım', '.']",gaz vermek,idiomatic,"[0, 1]"
112,tr,Sürekli gaz verilen projeler genellikle başarısız oluyor.,"['Sürekli', 'gaz', 'verilen', 'projeler', 'genellikle', 'başarısız', 'oluyor', '.']",gaz vermek,idiomatic,"[1, 2]"
113,tr,"Gaz vermeselerdi, asla bu kadar ileri gidemezdi.","['Gaz', 'vermeselerdi', ',', 'asla', 'bu', 'kadar', 'ileri', 'gidemezdi', '.']",gaz vermek,idiomatic,"[0, 1]"
114,tr,"Birilerine gaz vermek yerine, yol gösterici olmak daha iyidir.","['Birilerine', 'gaz', 'vermek', 'yerine', ',', 'yol', 'gösterici', 'olmak', 'daha', 'iyidir', '.']",gaz vermek,idiomatic,"[1, 2]"
115,tr,"Gaz verildiği anda, ortam birden hareketlendi.","['Gaz', 'verildiği', 'anda', ',', 'ortam', 'birden', 'hareketlendi', '.']",gaz vermek,idiomatic,"[0, 1]"
116,tr,Gaz verip geri çekilmek hiç adil değil.,"['Gaz', 'verip', 'geri', 'çekilmek', 'hiç', 'adil', 'değil', '.']",gaz vermek,idiomatic,"[0, 1]"
117,tr,Gaz vermekten başka bir işe yaramıyorsun.,"['Gaz', 'vermekten', 'başka', 'bir', 'işe', 'yaramıyorsun', '.']",gaz vermek,idiomatic,"[0, 1]"
118,tr,"Bu kadar gaz vermeyin, sonra pişman olursunuz.","['Bu', 'kadar', 'gaz', 'vermeyin', ',', 'sonra', 'pişman', 'olursunuz', '.']",gaz vermek,idiomatic,"[2, 3]"
119,tr,Gaz verilen yarışmacı finale kadar yükseldi.,"['Gaz', 'verilen', 'yarışmacı', 'finale', 'kadar', 'yükseldi', '.']",gaz vermek,idiomatic,"[0, 1]"
120,tr,"Gaz vermeye devam edersen, bir gün sınırını aşarsın.","['Gaz', 'vermeye', 'devam', 'edersen', ',', 'bir', 'gün', 'sınırını', 'aşarsın', '.']",gaz vermek,idiomatic,"[0, 1]"
121,tr,"Sürücü, aracı hızlandırmak için gaz vermek zorunda kaldı.","['Sürücü', ',', 'aracı', 'hızlandırmak', 'için', 'gaz', 'vermek', 'zorunda', 'kaldı', '.']",gaz vermek,literal,[-1]
122,tr,Yokuşta takılan motosiklete biraz daha gaz verdim.,"['Yokuşta', 'takılan', 'motosiklete', 'biraz', 'daha', 'gaz', 'verdim', '.']",gaz vermek,literal,[-1]
123,tr,Motoru çalıştırırken gaz vermezsen stop eder.,"['Motoru', 'çalıştırırken', 'gaz', 'vermezsen', 'stop', 'eder', '.']",gaz vermek,literal,[-1]
124,tr,Şoför ani bir şekilde gaz verdi ve araba hızlandı.,"['Şoför', 'ani', 'bir', 'şekilde', 'gaz', 'verdi', 've', 'araba', 'hızlandı', '.']",gaz vermek,literal,[-1]
125,tr,Lütfen trafikte gereksiz yere gaz verme.,"['Lütfen', 'trafikte', 'gereksiz', 'yere', 'gaz', 'verme', '.']",gaz vermek,literal,[-1]
